hometype,Pax_ID,P1_Age,P2_Gender,P8_Income,P5_EconActivity
6,1,60-64 yrs old,Male,$2000-$2499,Domestic worker
6,3,30-34 yrs old,Male,$6000-$6999,Employed Full-time
6,1,4-9 yrs old,Male,No Income,Full time student
6,1,15-19 yrs old,Male,No Income,Employed Full-time
6,4,10-14 yrs old,Male,No Income,Employed Full-time
6,2,30-34 yrs old,Male,$3000-$3999,Homemaker
6,3,35-39 yrs old,Male,$1-$1000,Homemaker
6,4,50-54 yrs old,Female,No Income,Homemaker
6,3,30-34 yrs old,Male,No Income,Employed Full-time
6,3,4-9 yrs old,Female,$1001-$1499,Full time student
6,1,55-59 yrs old,Male,No Income,Employed Full-time
6,3,50-54 yrs old,Male,$8000 and above,Retired
6,2,35-39 yrs old,Male,$2000-$2499,Homemaker
6,1,40-44 yrs old,Female,$2500-$2999,Employed Full-time
6,1,60-64 yrs old,Female,Refused,Full time student
6,3,10-14 yrs old,Female,$8000 and above,Employed Full-time
6,4,10-14 yrs old,Female,No Income,Full time student
6,1,10-14 yrs old,Female,$6000-$6999,Employed Full-time
6,3,40-44 yrs old,Female,$2000-$2499,Employed Full-time
6,2,15-19 yrs old,Female,Refused,Full time student
6,1,30-34 yrs old,Male,$3000-$3999,Full time student
6,3,45-49 yrs old,Male,$2500-$2999,Employed Full-time
6,2,40-44 yrs old,Female,$3000-$3999,Full time student
6,3,60-64 yrs old,Male,No Income,Employed Full-time
6,3,30-34 yrs old,Female,Refused,Employed Full-time
6,1,45-49 yrs old,Female,No Income,Employed Full-time
6,1,35-39 yrs old,Male,No Income,Retired
6,1,15-19 yrs old,Male,No Income,Employed Full-time
6,3,30-34 yrs old,Female,$5000-$5999,Unemployed
6,2,80-84 yrs old,Female,No Income,Employed Full-time
6,3,35-39 yrs old,Male,$1500-$1999,Employed Full-time
6,4,55-59 yrs old,Female,$4000-$4999,Employed Full-time
6,3,30-34 yrs old,Male,No Income,Employed Full-time
6,1,50-54 yrs old,Male,No Income,Employed Full-time
6,4,30-34 yrs old,Male,$3000-$3999,Full time student
6,1,40-44 yrs old,Male,No Income,Employed Full-time
6,1,4-9 yrs old,Male,$3000-$3999,Homemaker
6,4,35-39 yrs old,Male,$1001-$1499,Employed Full-time
6,2,35-39 yrs old,Male,No Income,Full time student
6,1,65-69 yrs old,Male,No Income,Employed Full-time
6,2,50-54 yrs old,Male,$2000-$2499,Retired
6,2,35-39 yrs old,Male,Refused,Self-employed
6,1,60-64 yrs old,Male,$6000-$6999,Employed Full-time
6,3,30-34 yrs old,Male,No Income,Employed Full-time
6,3,45-49 yrs old,Female,$1001-$1499,Employed Full-time
6,1,30-34 yrs old,Male,Refused,Domestic worker
6,1,30-34 yrs old,Female,No Income,Homemaker
6,1,20-24 yrs old,Female,No Income,Employed Full-time
6,4,20-24 yrs old,Male,Refused,Employed Full-time
6,1,15-19 yrs old,Male,No Income,Full time student
6,4,20-24 yrs old,Female,No Income,Full time student
6,1,50-54 yrs old,Female,$1001-$1499,Employed Full-time
6,3,40-44 yrs old,Male,$2500-$2999,Employed Full-time
6,1,60-64 yrs old,Female,No Income,Homemaker
6,3,45-49 yrs old,Female,No Income,Employed Part-time
6,4,45-49 yrs old,Female,No Income,Employed Full-time
6,1,40-44 yrs old,Female,Refused,Employed Full-time
6,4,4-9 yrs old,Male,$5000-$5999,Employed Full-time
6,1,30-34 yrs old,Female,$2000-$2499,Employed Full-time
6,3,55-59 yrs old,Male,$6000-$6999,Employed Full-time
6,1,35-39 yrs old,Female,No Income,Employed Full-time
6,2,40-44 yrs old,Male,$1500-$1999,Employed Full-time
6,2,25-29 yrs old,Male,Refused,Employed Full-time
6,3,30-34 yrs old,Female,$5000-$5999,Employed Full-time
6,2,20-24 yrs old,Female,$3000-$3999,Full time student
6,4,60-64 yrs old,Female,$1001-$1499,Employed Full-time
6,2,35-39 yrs old,Male,No Income,Employed Full-time
6,3,15-19 yrs old,Male,$6000-$6999,Employed Full-time
6,1,20-24 yrs old,Female,$1-$1000,Full time student
6,2,35-39 yrs old,Male,No Income,Employed Full-time
6,2,35-39 yrs old,Female,No Income,Employed Full-time
5,1,30-34 yrs old,Male,No Income,Unemployed
5,2,25-29 yrs old,Male,$2000-$2499,Employed Full-time
5,3,70-74 yrs old,Male,$2500-$2999,Employed Full-time
5,1,40-44 yrs old,Male,$1500-$1999,Homemaker
5,1,25-29 yrs old,Female,No Income,Employed Full-time
5,3,65-69 yrs old,Male,$1001-$1499,Employed Full-time
5,2,65-69 yrs old,Female,No Income,Employed Full-time
5,2,40-44 yrs old,Male,No Income,Employed Full-time
5,3,25-29 yrs old,Female,No Income,Employed Full-time
5,2,45-49 yrs old,Female,No Income,Employed Part-time
5,3,20-24 yrs old,Male,No Income,Full time student
5,3,65-69 yrs old,Male,$1500-$1999,Employed Full-time
5,3,60-64 yrs old,Male,$1001-$1499,Employed Full-time
5,2,35-39 yrs old,Male,No Income,Homemaker
5,2,40-44 yrs old,Male,No Income,Homemaker
5,2,30-34 yrs old,Male,No Income,Employed Full-time
5,1,65-69 yrs old,Male,No Income,Homemaker
5,2,55-59 yrs old,Female,$2000-$2499,Employed Full-time
5,1,70-74 yrs old,Female,No Income,Retired
5,2,30-34 yrs old,Female,$1001-$1499,Employed Full-time
5,1,40-44 yrs old,Male,No Income,Retired
5,1,55-59 yrs old,Female,$3000-$3999,Retired
5,3,30-34 yrs old,Male,No Income,Employed Full-time
5,1,50-54 yrs old,Male,$3000-$3999,Employed Full-time
5,4,30-34 yrs old,Male,$8000 and above,Employed Full-time
5,3,25-29 yrs old,Male,No Income,Retired
5,2,25-29 yrs old,Male,No Income,Employed Full-time
5,3,55-59 yrs old,Male,$2000-$2499,Employed Full-time
5,2,30-34 yrs old,Male,No Income,Homemaker
5,1,20-24 yrs old,Male,No Income,Retired
5,1,10-14 yrs old,Male,No Income,Employed Full-time
5,1,25-29 yrs old,Female,No Income,Employed Full-time
5,1,30-34 yrs old,Female,$2500-$2999,Employed Full-time
5,2,55-59 yrs old,Female,No Income,Employed Full-time
5,3,65-69 yrs old,Male,$1500-$1999,Employed Full-time
5,3,30-34 yrs old,Male,No Income,Employed Full-time
5,3,25-29 yrs old,Male,Refused,Employed Full-time
5,1,40-44 yrs old,Male,$2500-$2999,Employed Full-time
5,1,50-54 yrs old,Female,$2500-$2999,Employed Full-time
5,1,30-34 yrs old,Female,No Income,Homemaker
5,1,50-54 yrs old,Female,$1-$1000,Employed Full-time
5,2,25-29 yrs old,Female,$8000 and above,Employed Full-time
5,1,30-34 yrs old,Male,Refused,Employed Full-time
5,1,30-34 yrs old,Female,$1001-$1499,Employed Full-time
5,1,65-69 yrs old,Female,No Income,Employed Full-time
5,1,60-64 yrs old,Male,$6000-$6999,Self-employed
5,2,70-74 yrs old,Female,$2500-$2999,Employed Full-time
5,3,30-34 yrs old,Female,$8000 and above,Employed Full-time
5,1,50-54 yrs old,Female,$8000 and above,Homemaker
5,3,70-74 yrs old,Male,Refused,Employed Full-time
5,1,40-44 yrs old,Female,No Income,Employed Full-time
5,1,25-29 yrs old,Male,$1001-$1499,Homemaker
5,2,50-54 yrs old,Female,$1500-$1999,Employed Full-time
5,1,75-79 yrs old,Male,$4000-$4999,Employed Full-time
5,2,55-59 yrs old,Male,No Income,Employed Full-time
5,1,70-74 yrs old,Female,No Income,Employed Full-time
5,1,4-9 yrs old,Male,No Income,Employed Full-time
5,2,60-64 yrs old,Male,$3000-$3999,Employed Full-time
5,1,30-34 yrs old,Male,$2000-$2499,Employed Full-time
5,2,55-59 yrs old,Female,$6000-$6999,Employed Part-time
5,3,45-49 yrs old,Male,$1001-$1499,Retired
5,3,70-74 yrs old,Male,No Income,Employed Full-time
5,4,55-59 yrs old,Female,Refused,Employed Full-time
5,1,50-54 yrs old,Female,No Income,Homemaker
5,4,60-64 yrs old,Male,No Income,Homemaker
5,3,45-49 yrs old,Female,No Income,Employed Full-time
5,2,35-39 yrs old,Male,No Income,Employed Full-time
5,2,45-49 yrs old,Female,$1-$1000,Employed Full-time
5,2,25-29 yrs old,Female,No Income,Full time student
5,1,45-49 yrs old,Female,No Income,Full time student
5,2,60-64 yrs old,Male,$3000-$3999,Full time student
5,4,10-14 yrs old,Female,No Income,Full time student
5,1,40-44 yrs old,Male,$1-$1000,Homemaker
5,1,55-59 yrs old,Male,$4000-$4999,Employed Full-time
5,2,45-49 yrs old,Male,$2500-$2999,Employed Full-time
4,1,30-34 yrs old,Female,No Income,Employed Full-time
4,1,45-49 yrs old,Male,$1500-$1999,Homemaker
4,3,25-29 yrs old,Female,No Income,Employed Full-time
4,1,55-59 yrs old,Male,$1500-$1999,Employed Full-time
4,1,75-79 yrs old,Female,$1500-$1999,Employed Full-time
4,2,35-39 yrs old,Female,No Income,Retired
4,1,70-74 yrs old,Female,No Income,Employed Full-time
4,1,70-74 yrs old,Female,$6000-$6999,Employed Full-time
4,2,85 yrs & above,Male,$3000-$3999,Retired
4,1,25-29 yrs old,Female,No Income,Unemployed
4,2,25-29 yrs old,Female,$1001-$1499,Retired
4,1,70-74 yrs old,Female,$3000-$3999,Full time student
4,2,55-59 yrs old,Female,No Income,Retired
4,1,35-39 yrs old,Male,No Income,Homemaker
4,2,60-64 yrs old,Male,$2000-$2499,Homemaker
4,1,65-69 yrs old,Male,No Income,Employed Full-time
4,2,55-59 yrs old,Male,$2500-$2999,Employed Full-time
4,1,45-49 yrs old,Male,$8000 and above,National service
4,2,65-69 yrs old,Male,No Income,Retired
4,1,30-34 yrs old,Male,$1001-$1499,Self-employed
4,3,65-69 yrs old,Female,$1-$1000,Employed Full-time
4,1,85 yrs & above,Male,No Income,Employed Full-time
4,3,50-54 yrs old,Female,$1001-$1499,Homemaker
4,1,75-79 yrs old,Male,$3000-$3999,Employed Full-time
4,1,70-74 yrs old,Female,No Income,Retired
4,1,50-54 yrs old,Male,$1001-$1499,Employed Full-time
4,2,70-74 yrs old,Male,No Income,Employed Full-time
4,1,40-44 yrs old,Male,$1500-$1999,Employed Full-time
4,1,60-64 yrs old,Female,No Income,Retired
4,2,30-34 yrs old,Male,No Income,Employed Full-time
4,2,35-39 yrs old,Male,No Income,Self-employed
4,2,30-34 yrs old,Male,No Income,Employed Full-time
4,2,55-59 yrs old,Male,No Income,Homemaker
4,1,30-34 yrs old,Female,No Income,Retired
4,2,35-39 yrs old,Female,No Income,Retired
4,1,35-39 yrs old,Female,$1001-$1499,Homemaker
4,1,55-59 yrs old,Male,Refused,Homemaker
4,1,35-39 yrs old,Female,No Income,Employed Full-time
4,1,55-59 yrs old,Male,$2000-$2499,Retired
4,1,50-54 yrs old,Female,$1001-$1499,Employed Full-time
4,2,30-34 yrs old,Male,No Income,Employed Full-time
4,1,35-39 yrs old,Female,No Income,Employed Full-time
4,3,50-54 yrs old,Male,$7000-$7999,Self-employed
4,3,30-34 yrs old,Female,No Income,Retired
4,2,35-39 yrs old,Male,No Income,Employed Full-time
4,1,25-29 yrs old,Female,$1-$1000,Homemaker
4,2,40-44 yrs old,Female,No Income,Unemployed
4,2,65-69 yrs old,Female,No Income,Homemaker
4,2,25-29 yrs old,Male,$1500-$1999,Employed Full-time
4,3,45-49 yrs old,Female,No Income,Employed Full-time
4,3,55-59 yrs old,Male,$3000-$3999,Employed Full-time
4,1,40-44 yrs old,Male,No Income,Employed Full-time
4,2,50-54 yrs old,Male,Refused,Unemployed
4,3,30-34 yrs old,Female,No Income,Retired
4,1,45-49 yrs old,Male,$1001-$1499,Employed Full-time
4,1,25-29 yrs old,Male,No Income,Employed Full-time
4,2,45-49 yrs old,Female,$3000-$3999,Employed Full-time
4,2,40-44 yrs old,Female,No Income,Homemaker
4,2,30-34 yrs old,Female,No Income,Employed Full-time
4,3,65-69 yrs old,Female,$8000 and above,Employed Full-time
4,1,30-34 yrs old,Female,$1001-$1499,Employed Full-time
4,2,55-59 yrs old,Female,No Income,Employed Full-time
4,1,60-64 yrs old,Male,No Income,Employed Full-time
4,2,30-34 yrs old,Male,No Income,Homemaker
4,2,60-64 yrs old,Male,No Income,Homemaker
4,3,50-54 yrs old,Female,$1001-$1499,Employed Full-time
4,3,60-64 yrs old,Male,No Income,Homemaker
4,1,55-59 yrs old,Male,No Income,Self-employed
4,1,25-29 yrs old,Female,$8000 and above,Employed Full-time
4,1,45-49 yrs old,Male,$1001-$1499,Employed Full-time
4,2,75-79 yrs old,Female,$1-$1000,Employed Full-time
4,1,50-54 yrs old,Male,$2000-$2499,Homemaker
4,2,50-54 yrs old,Male,No Income,Employed Full-time
4,1,30-34 yrs old,Male,$2000-$2499,Employed Full-time
4,1,30-34 yrs old,Female,No Income,Self-employed
4,3,25-29 yrs old,Male,Refused,Homemaker
4,1,35-39 yrs old,Male,No Income,Retired
4,2,45-49 yrs old,Male,No Income,Retired
4,1,50-54 yrs old,Male,$2500-$2999,Homemaker
4,3,30-34 yrs old,Male,$2500-$2999,Employed Full-time
4,1,4-9 yrs old,Female,$2000-$2499,Employed Full-time
4,2,35-39 yrs old,Female,No Income,Employed Full-time
4,1,50-54 yrs old,Male,$1500-$1999,Employed Full-time
4,1,35-39 yrs old,Female,No Income,Employed Full-time
4,1,50-54 yrs old,Female,$3000-$3999,Employed Full-time
3,2,55-59 yrs old,Male,No Income,Employed Full-time
3,1,50-54 yrs old,Female,$1001-$1499,Homemaker
3,1,35-39 yrs old,Female,No Income,Employed Full-time
3,1,30-34 yrs old,Male,Refused,Employed Full-time
3,2,80-84 yrs old,Male,Refused,Employed Full-time
3,1,80-84 yrs old,Female,No Income,Employed Full-time
3,2,60-64 yrs old,Female,Refused,Employed Full-time
3,1,75-79 yrs old,Male,No Income,Employed Full-time
3,2,80-84 yrs old,Male,$1500-$1999,Employed Full-time
3,2,70-74 yrs old,Female,$1-$1000,Employed Full-time
3,1,40-44 yrs old,Male,No Income,Homemaker
3,2,65-69 yrs old,Female,No Income,Homemaker
3,2,80-84 yrs old,Male,No Income,Employed Full-time
3,2,35-39 yrs old,Male,No Income,Employed Full-time
3,1,40-44 yrs old,Female,No Income,Retired
3,1,35-39 yrs old,Female,$1500-$1999,Retired
3,1,45-49 yrs old,Male,$1-$1000,Employed Full-time
3,1,60-64 yrs old,Female,No Income,Employed Full-time
3,1,70-74 yrs old,Male,$1001-$1499,Employed Full-time
3,2,70-74 yrs old,Female,No Income,Homemaker
3,1,45-49 yrs old,Female,$1500-$1999,Homemaker
3,1,60-64 yrs old,Female,No Income,Retired
3,1,70-74 yrs old,Female,No Income,Retired
3,2,20-24 yrs old,Male,Refused,Employed Full-time
3,1,45-49 yrs old,Female,No Income,Employed Part-time
3,2,60-64 yrs old,Female,No Income,Employed Full-time
3,1,60-64 yrs old,Male,No Income,Homemaker
3,2,35-39 yrs old,Male,No Income,Employed Full-time
3,2,45-49 yrs old,Female,No Income,Employed Full-time
3,1,70-74 yrs old,Male,No Income,Employed Full-time
3,2,45-49 yrs old,Male,No Income,Employed Part-time
3,2,45-49 yrs old,Female,$1-$1000,Self-employed
3,2,35-39 yrs old,Female,$1001-$1499,Employed Full-time
3,1,45-49 yrs old,Male,No Income,National service
3,3,60-64 yrs old,Female,$3000-$3999,Retired
3,2,45-49 yrs old,Female,No Income,Employed Full-time
3,1,20-24 yrs old,Male,No Income,Employed Full-time
3,1,65-69 yrs old,Male,$1-$1000,Unemployed
3,1,80-84 yrs old,Male,No Income,Homemaker
3,2,35-39 yrs old,Female,$1-$1000,Employed Full-time
3,2,70-74 yrs old,Male,$1500-$1999,Unemployed
3,1,60-64 yrs old,Female,$1-$1000,Homemaker
3,1,70-74 yrs old,Female,$1500-$1999,Homemaker
3,2,80-84 yrs old,Female,No Income,Homemaker
3,1,55-59 yrs old,Male,$1-$1000,Retired
3,2,80-84 yrs old,Female,No Income,Self-employed
2,1,50-54 yrs old,Female,No Income,Full time student
2,1,25-29 yrs old,Female,$1001-$1499,Others
2,1,30-34 yrs old,Female,$1-$1000,Employed Part-time
2,1,15-19 yrs old,Male,$1001-$1499,Employed Full-time
2,1,65-69 yrs old,Female,No Income,Employed Full-time
2,1,70-74 yrs old,Female,$1500-$1999,Employed Full-time
2,1,25-29 yrs old,Female,No Income,Employed Full-time
2,1,50-54 yrs old,Female,$1001-$1499,Employed Full-time
2,1,65-69 yrs old,Male,$5000-$5999,Employed Full-time
2,1,60-64 yrs old,Male,$2000-$2499,Retired
2,1,35-39 yrs old,Male,No Income,Retired
2,2,85 yrs & above,Female,No Income,Employed Full-time
2,1,35-39 yrs old,Female,No Income,Employed Full-time
2,1,65-69 yrs old,Female,$1001-$1499,Employed Full-time
2,2,80-84 yrs old,Female,$6000-$6999,Employed Full-time
2,2,25-29 yrs old,Male,Refused,Homemaker
2,1,25-29 yrs old,Male,$1-$1000,Employed Part-time
2,1,20-24 yrs old,Female,No Income,Full time student
2,1,30-34 yrs old,Male,No Income,Employed Part-time
2,1,30-34 yrs old,Male,$1-$1000,Retired
2,1,25-29 yrs old,Male,$1001-$1499,Employed Full-time
2,1,25-29 yrs old,Female,$1-$1000,Domestic worker
2,1,25-29 yrs old,Female,$2500-$2999,Employed Full-time
2,1,35-39 yrs old,Female,$1001-$1499,Full time student
2,2,35-39 yrs old,Male,No Income,Employed Full-time
2,1,45-49 yrs old,Female,No Income,Employed Full-time
2,1,60-64 yrs old,Female,$1-$1000,Employed Full-time
2,1,65-69 yrs old,Male,No Income,Employed Part-time
2,2,30-34 yrs old,Male,$1500-$1999,Unemployed
2,1,75-79 yrs old,Female,No Income,Employed Full-time
2,2,75-79 yrs old,Female,$1001-$1499,Employed Part-time
2,1,20-24 yrs old,Female,$1500-$1999,Employed Full-time
2,1,60-64 yrs old,Male,$1-$1000,Employed Full-time
2,1,70-74 yrs old,Female,No Income,Employed Part-time
2,1,65-69 yrs old,Female,No Income,Employed Part-time
2,1,20-24 yrs old,Male,No Income,Homemaker
2,1,25-29 yrs old,Female,$2000-$2499,Employed Full-time
2,1,35-39 yrs old,Male,$1001-$1499,Full time student
2,1,35-39 yrs old,Male,$1500-$1999,Unemployed
2,1,50-54 yrs old,Female,$1-$1000,Homemaker
2,1,60-64 yrs old,Female,Refused,Domestic worker
2,1,50-54 yrs old,Female,$1500-$1999,Homemaker
2,1,25-29 yrs old,Female,No Income,Employed Full-time
2,1,20-24 yrs old,Male,No Income,Retired
2,1,30-34 yrs old,Male,$1-$1000,Employed Full-time
2,1,20-24 yrs old,Male,$2000-$2499,Employed Full-time
2,1,35-39 yrs old,Female,$1001-$1499,Employed Part-time
2,1,65-69 yrs old,Female,$1-$1000,Retired
2,1,25-29 yrs old,Male,$1001-$1499,Full time student
2,1,15-19 yrs old,Male,No Income,Retired
2,1,20-24 yrs old,Male,Refused,Domestic worker
2,1,55-59 yrs old,Male,$1500-$1999,Retired
2,1,50-54 yrs old,Female,$1500-$1999,Employed Full-time
1,1,85 yrs & above,Male,Refused,Self-employed
1,1,80-84 yrs old,Male,No Income,Self-employed
1,1,35-39 yrs old,Male,Refused,Retired
1,1,40-44 yrs old,Male,No Income,Self-employed
1,1,80-84 yrs old,Female,Refused,Retired
1,1,85 yrs & above,Male,No Income,Unemployed
1,1,40-44 yrs old,Male,Refused,Unemployed
1,1,35-39 yrs old,Male,No Income,Employed Full-time
1,1,40-44 yrs old,Male,No Income,Self-employed
1,1,35-39 yrs old,Female,Refused,Self-employed
